"","Despacho","Lubricantes","Neumaticos","Repuestos","Servicios","% Descuento","cluster"
"4297213",0,0,0,1,0,0.1,4
"4298877",0,0,0,1,0,0.01,2
"4298919",0,0,0,1,0,0.17,4
"4299465",0,0,0,0,1,0,1
"4299702",0,0,1,0,0,0,5
"4299936",0,0,0.93,0,0.07,0.07,5
"4300286",0,0,0,0,1,0,1
"4301892",0,0,0,1,0,0,2
"4306680",0,0,0,1,0,0,2
"4306753",0,0,0,1,0,0.1,4
"4308255",0,0,0,1,0,0,2
"4308354",0,0.15,0.3,0.55,0,0.07,4
"4309380",0,0.86,0,0.14,0,0.01,3
"4310278",0,0,0,0.98,0.02,0.13,4
"4310320",0,0,0.48,0.52,0,0.1,5
"4310390",0,0,0,1,0,0,2
"4311332",0,0,0,0,1,0,1
"4313107",0,0,0,1,0,0.04,2
"4313786",0,0,0,1,0,0.15,4
"4315311",0,0,0.84,0,0.16,0.11,5
"4315495",0,0,0.2,0.77,0.03,0.07,4
"4318663",0,0,0,0.15,0.85,0.03,1
"4319684",0,0,0,0,1,0,1
"4320282",0,0,1,0,0,0.04,5
"4321437",0,0.38,0,0.62,0,0.05,4
"4321906",0,0,1,0,0,0.06,5
"4322452",0,0,0,1,0,0.07,4
"4322774",0,0,0,1,0,0.17,4
"4324564",0,0,0,1,0,0,2
"4325037",0,0,0,1,0,0,2
"4329862",0,0,0,1,0,0.19,4
"4330127",0,0,0,1,0,0.15,4
"4335359",0,0,0.81,0,0.19,0.19,5
"4339511",0,0,0.78,0.15,0.08,0.04,5
"4340129",0,0,1,0,0,0.01,5
"4340401",0,0.93,0,0.07,0,0,3
"4341288",0,0.08,0.47,0.45,0,0.06,5
"4346220",0,0.88,0,0.12,0,0,3
"4347012",0,0,0.88,0.12,0,0.05,5
"4347118",0,0,0,1,0,0,2
"4347189",0,0,0,1,0,0.15,4
"4348772",0,0,0,1,0,0.12,4
"4349039",0,0,0.78,0.22,0,0.01,5
"4351479",0,0.39,0.4,0.22,0,0.06,5
"4352018",0,0,1,0,0,0,5
"4353315",0,0,0,1,0,0.17,4
"4353891",0,0,0.98,0.02,0,0.04,5
"4353900",0,0.86,0,0,0.14,0,3
"4354456",0,0,0.91,0,0.09,0.03,5
"4355328",0,0,0,1,0,0.1,4
"4355519",0,0,0.94,0,0.06,0,5
"4356874",0,0.29,0,0.71,0,0,2
"4358474",0,0,0.9,0,0.1,0.04,5
"4358647",0,0,1,0,0,0.13,5
"4358721",0,0,0.86,0.09,0.05,0.11,5
"4359056",0,0,0.91,0,0.09,0.05,5
"4359475",0,0,0.92,0.08,0,0.08,5
"4362386",0,0,1,0,0,0.12,5
"4362570",0,0,0.95,0,0.05,0.11,5
"4363971",0,0,0,1,0,0,2
"4370264",0,0,0,1,0,0,2
"4371831",0,0,0.93,0,0.07,0.06,5
"4373081",0,0,0,1,0,0.1,4
"4373175",0,0.06,0,0.94,0,0,2
"4373502",0,0.25,0,0.75,0,0,2
"4376194",0,0.42,0,0.58,0,0.03,2
"4376322",0,0,0,1,0,0,2
"4376881",0,0,0,1,0,0.11,4
"4377248",0,0,0,0,1,0,1
"4377676",0,0,0,1,0,0.04,2
"4377677",0,0,0,1,0,0.12,4
"4379728",0,0,0,0,1,0,1
"4381990",0,0,0,1,0,0.04,2
"4382748",0,1,0,0,0,0.01,3
"4383127",0,0,0,1,0,0.1,4
"4384001",0,0,0,0,1,0,1
"4385075",0,0,0,1,0,0,2
"4386618",0,0.08,0,0.9,0.02,0.21,4
"4387542",0,0,1,0,0,0.08,5
"4388111",0,0.04,0.44,0.52,0,0.08,5
"4389707",0,0,0.65,0.35,0,0.04,5
